material,exp_id,iteration,replication,writeLatency_mean,writeEnergy_mean,L2_norm_Error,Loo_norm_Error
AlOx-HfO2,exp3,100,8,75.58830138227684,0.04054741997317157,3.3339166467188415,0.5067725750140433
AlOx-HfO2,exp3,100,9,76.0110513822767,0.04058720801312111,5.072514697276288,0.7821936826852678
AlOx-HfO2,exp3,1,1,38.80185301382282,0.018292028622720353,99.37465472922221,12.897202336636283
AlOx-HfO2,exp3,1,10,38.80185301382282,0.018271017190040862,100.37141675881524,13.015870291089506
AlOx-HfO2,exp3,1,2,38.80185301382282,0.01822247897961043,102.70675108690867,13.296137699118265
AlOx-HfO2,exp3,1,3,38.80185301382282,0.018334443287295155,97.38568236320644,12.66223696963692
AlOx-HfO2,exp3,1,4,38.80185301382282,0.018313173341008893,98.37563405953625,12.78046192443416
AlOx-HfO2,exp3,1,5,38.80185301382282,0.018278001632014894,100.04138861897083,12.976088541848387
AlOx-HfO2,exp3,1,6,38.80185301382282,0.01836299699308734,96.06038440825051,12.507211165390759
AlOx-HfO2,exp3,1,7,38.80185301382282,0.018320247821361622,98.04919013858313,12.740191883135406
AlOx-HfO2,exp3,1,8,38.80185301382282,0.018384561131702278,95.0693299292217,12.388582590100109
AlOx-HfO2,exp3,1,9,38.80185301382282,0.018285015780173032,99.70623563622702,12.936844288761389
AlOx-HfO2,exp3,50,1,75.68155069113828,0.04058849414986456,4.546120220120795,0.6707675768564165
AlOx-HfO2,exp3,50,10,75.80825069113854,0.04054241382392282,5.383673290089804,0.8304810865164072
AlOx-HfO2,exp3,50,2,77.55085069113845,0.04209044264510307,4.489719924318005,0.7756328652062692
AlOx-HfO2,exp3,50,3,75.56165069113858,0.040614986134262246,4.394812100997087,0.6395131720226779
AlOx-HfO2,exp3,50,4,75.73475069113817,0.04059468046599184,4.570324513707968,0.6749770980903165
AlOx-HfO2,exp3,50,5,75.21920069113861,0.04055227762764577,3.9253759721861035,0.5847392759555063
AlOx-HfO2,exp3,50,6,75.68155069113828,0.040586429568708095,4.539198240812653,0.6698933820420159
AlOx-HfO2,exp3,50,7,75.2724006911385,0.04057284850756781,4.240956944096106,0.6245052662439043
AlOx-HfO2,exp3,50,8,76.58340069113831,0.042080744903417136,4.688179034361762,0.7269731542347238
