material,exp_id,iteration,replication,writeLatency_mean,writeEnergy_mean,L2_norm_Error,Loo_norm_Error,min_elapsed_time
AlOx-HfO2,exp2,100,1,91.56170138227617,0.043213040953515414,1.1887541573107603,0.297071003865389,2.9139046669006348
AlOx-HfO2,exp2,100,2,91.97165138227639,0.04322798379679576,3.956078158535122,0.6998530376908603,2.977858781814575
AlOx-HfO2,exp2,100,3,91.20350138227651,0.04312553674988159,2.6016682879545012,0.6322495096319443,2.9430222511291504
AlOx-HfO2,exp2,100,4,91.55175138227655,0.04317964107429831,1.293033175098626,0.32195840722792346,3.0023391246795654
AlOx-HfO2,exp2,100,5,91.48210138227633,0.043181886998470434,1.1874140522406866,0.2948356507868627,2.9451937675476074
AlOx-HfO2,exp2,10,1,91.49178013822758,0.04321161068988268,1.189627359033737,0.29771080280249307,1.5655810832977295
AlOx-HfO2,exp2,10,2,91.59128013822779,0.04316089235057325,1.229715168270133,0.30538051498758445,1.6582920551300049
AlOx-HfO2,exp2,10,3,91.49178013822758,0.043212500014193043,1.1892145695759007,0.2996539050448924,1.5895352363586426
AlOx-HfO2,exp2,10,4,91.26293013822797,0.04312524455444451,2.7157319587878974,0.8237484833960305,1.6427056789398193
AlOx-HfO2,exp2,10,5,91.5514801382274,0.04315999172479524,1.6122753908007352,0.40642050630638304,1.62929105758667
AlOx-HfO2,exp2,1,1,37.7644530138227,0.012399271301559909,109.65494988339215,14.73534317327301,1.4622819423675537
AlOx-HfO2,exp2,1,2,37.7644530138227,0.012433547159302777,108.49496290479367,14.61102413895669,1.49820876121521
AlOx-HfO2,exp2,1,3,37.7644530138227,0.012399271301559909,109.65494988339215,14.73534317327301,1.5182106494903564
AlOx-HfO2,exp2,1,4,37.7644530138227,0.012379872108114537,110.51049263484133,14.832879784732224,1.4362096786499023
AlOx-HfO2,exp2,1,5,37.7644530138227,0.012399271301559909,109.65494988339215,14.73534317327301,1.5014348030090332
AlOx-HfO2,exp2,20,1,91.23311027645533,0.04314274590083938,4.2986537145240105,0.7450559930566514,1.7596466541290283
AlOx-HfO2,exp2,20,2,91.22316027645508,0.04310816292516424,2.7549541286894175,0.8238116733667247,1.7633004188537598
AlOx-HfO2,exp2,20,3,91.60126027645543,0.04314480161866179,1.3976347527638318,0.36832588020734847,1.779587984085083
AlOx-HfO2,exp2,20,4,91.16346027645525,0.043172497741162066,3.5304407059134584,0.6917078066347964,1.7132649421691895
